,belongs_to_collection,title,revenue
0,toy story collection,Toy Story,373554033.0
1,,Jumanji,262797249.0
2,grumpy old men collection,Grumpier Old Men,0.0
3,,Waiting to Exhale,81452156.0
4,father of the bride collection,Father of the Bride Part II,76578911.0
5,,Heat,187436818.0
6,,Sabrina,0.0
7,,Tom and Huck,0.0
8,,Sudden Death,64350171.0
9,james bond collection,GoldenEye,352194034.0
10,,The American President,107879496.0
11,,Dracula: Dead and Loving It,0.0
12,balto collection,Balto,11348324.0
13,,Nixon,13681765.0
14,,Cutthroat Island,10017322.0
15,,Casino,116112375.0
16,,Sense and Sensibility,135000000.0
17,,Four Rooms,4300000.0
18,ace ventura collection,Ace Ventura: When Nature Calls,212385533.0
19,,Money Train,35431113.0
20,chili palmer collection,Get Shorty,115101622.0
21,,Copycat,0.0
22,,Assassins,30303072.0
23,,Powder,0.0
24,,Leaving Las Vegas,49800000.0
25,,Othello,0.0
26,,Now and Then,27400000.0
27,,Persuasion,0.0
28,,The City of Lost Children,1738611.0
29,,Shanghai Triad,0.0
30,,Dangerous Minds,180000000.0
31,,Twelve Monkeys,168840000.0
32,,Wings of Courage,0.0
33,babe collection,Babe,254134910.0
34,,Carrington,0.0
35,,Dead Man Walking,39363635.0
36,,Across the Sea of Time,0.0
37,,It Takes Two,0.0
38,,Clueless,0.0
39,,"Cry, the Beloved Country",676525.0
40,,Richard III,0.0
41,,Dead Presidents,0.0
42,,Restoration,0.0
43,mortal kombat collection,Mortal Kombat,122195920.0
44,,To Die For,21284514.0
45,,How To Make An American Quilt,23574130.0
46,,Se7en,327311859.0
47,pocahontas collection,Pocahontas,346079773.0
48,,When Night Is Falling,0.0
49,,The Usual Suspects,23341568.0
50,,Guardian Angel,0.0
51,,Mighty Aphrodite,6700000.0
52,,Lamerica,0.0
53,,The Big Green,0.0
54,,Georgia,0.0
55,,Kids of the Round Table,0.0
56,,Home for the Holidays,17519169.0
57,,The Postman,0.0
58,,The Confessional,0.0
59,,The Indian in the Cupboard,0.0
60,,Eye for an Eye,0.0
61,,Mr. Holland's Opus,106269971.0
62,,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0
63,,Two If by Sea,0.0
64,,Bio-Dome,0.0
65,the lawnmower man collection,Lawnmower Man 2: Beyond Cyberspace,2409225.0
66,,Two Bits,0.0
67,,French Twist,0.0
68,friday collection,Friday,28215918.0
69,from dusk till dawn collection,From Dusk Till Dawn,25836616.0
70,,Fair Game,11534477.0
71,,Kicking and Screaming,718490.0
72,,Les Miserables,0.0
73,,Bed of Roses,19030691.0
74,,Big Bully,2042530.0
75,screamers collection,Screamers,5781885.0
76,,Nico Icon,0.0
77,,The Crossing Guard,0.0
78,,The Juror,0.0
79,,The White Balloon,0.0
80,,Things to Do in Denver When You're Dead,529766.0
81,,Antonia's Line,0.0
