,title,production_companies,revenue
0,Toy Story,['pixar animation studios'],373554033.0
1,Jumanji,"['tristar pictures', 'teitler film', 'interscope communications']",262797249.0
2,Grumpier Old Men,"['warner bros.', 'lancaster gate']",0.0
3,Waiting to Exhale,['twentieth century fox film corporation'],81452156.0
4,Father of the Bride Part II,"['sandollar productions', 'touchstone pictures']",76578911.0
5,Heat,"['regency enterprises', 'forward pass', 'warner bros.']",187436818.0
6,Sabrina,"['paramount pictures', 'scott rudin productions', 'mirage enterprises', 'sandollar productions', 'constellation entertainment', 'worldwide', 'mont blanc entertainment gmbh']",0.0
7,Tom and Huck,['walt disney pictures'],0.0
8,Sudden Death,"['universal pictures', 'imperial entertainment', 'signature entertainment']",64350171.0
9,GoldenEye,"['united artists', 'eon productions']",352194034.0
10,The American President,"['columbia pictures', 'castle rock entertainment']",107879496.0
11,Dracula: Dead and Loving It,"['columbia pictures', 'castle rock entertainment', 'enigma pictures']",0.0
12,Balto,"['universal pictures', 'amblin entertainment', 'amblimation']",11348324.0
13,Nixon,"['hollywood pictures', 'cinergi pictures entertainment']",13681765.0
14,Cutthroat Island,"['le studio canal+', 'laurence mark productions', 'metro-goldwyn-mayer (mgm)', 'carolco pictures']",10017322.0
15,Casino,"['universal pictures', 'lã©gende entreprises', 'syalis da', 'de fina-cappa']",116112375.0
16,Sense and Sensibility,"['columbia pictures corporation', 'mirage enterprises']",135000000.0
17,Four Rooms,"['miramax films', 'a band apart']",4300000.0
18,Ace Ventura: When Nature Calls,"['o entertainment', 'warner bros.', 'morgan creek productions']",212385533.0
19,Money Train,['columbia pictures'],35431113.0
20,Get Shorty,"['jersey films', 'metro-goldwyn-mayer (mgm)']",115101622.0
21,Copycat,"['regency enterprises', 'new regency pictures']",0.0
22,Assassins,"['silver pictures', 'canal+', 'warner bros.', 'dino de laurentiis company', 'donner/shuler-donner productions', 'evansgideon/lazar']",30303072.0
23,Powder,"['caravan pictures', 'hollywood pictures']",0.0
24,Leaving Las Vegas,"['united artists', 'intial productions']",49800000.0
25,Othello,"['columbia pictures', 'castle rock entertainment']",0.0
26,Now and Then,['new line cinema'],27400000.0
27,Persuasion,['bbc films'],0.0
28,The City of Lost Children,"['procirep', 'constellation productions', 'france 3 cinã©ma', 'claudie ossard productions', 'eurimages', 'media programme of the european union', 'cofimage 5', 'televisiã³n espaã±ola (tve)', 'tele mã¼nchen fernseh produktionsgesellschaft (tmg)', ""club d'investissement mã©dia"", 'canal+ espaã±a', 'elã\xadas querejeta producciones cinematogrã¡ficas s.l.', 'centre national de la cinã©matographie (cnc)', 'victoires productions', 'constellation', 'lumiã¨re pictures', 'canal+', 'studio image', 'cofimage 4', 'ossane', 'phoenix images']",1738611.0
29,Shanghai Triad,"['ministã¨re des affaires ã‰trangã¨res', 'alpha films', 'la sept cinã©ma']",0.0
30,Dangerous Minds,"['hollywood pictures', 'via rosa productions', 'don simpson/jerry bruckheimer films']",180000000.0
31,Twelve Monkeys,"['universal pictures', 'atlas entertainment', 'classico']",168840000.0
32,Wings of Courage,['iwerks entertainment'],0.0
33,Babe,"['universal pictures', 'kennedy miller productions']",254134910.0
34,Carrington,"['studiocanal', 'cinã©a', 'euston films', 'freeway films', 'european co-production fund', 'polygram filmed entertainment', 'orsans productions']",0.0
35,Dead Man Walking,"['havoc', 'polygram filmed entertainment', 'working title films']",39363635.0
36,Across the Sea of Time,['sony new technologies'],0.0
37,It Takes Two,"['dualstar productions', 'warner bros.', 'rysher entertainment', 'orr & cruickshank']",0.0
38,Clueless,['paramount pictures'],0.0
39,"Cry, the Beloved Country","['miramax', 'distant horizon', 'alpine pty limited']",676525.0
40,Richard III,"['british screen', 'mayfair entertainment international']",0.0
41,Dead Presidents,"['caravan pictures', 'underworld entertainment', 'hollywood pictures']",0.0
42,Restoration,['miramax films'],0.0
43,Mortal Kombat,"['new line cinema', 'threshold entertainment']",122195920.0
44,To Die For,"['the rank organisation', 'columbia pictures corporation']",21284514.0
45,How To Make An American Quilt,"['universal pictures', 'amblin entertainment']",23574130.0
46,Se7en,"['new line cinema', 'juno pix', 'cecchi gori pictures']",327311859.0
47,Pocahontas,"['walt disney pictures', 'walt disney feature animation']",346079773.0
48,When Night Is Falling,['alliance communications corporation'],0.0
49,The Usual Suspects,"['blue parrot productions', 'bad hat harry productions']",23341568.0
50,Guardian Angel,,0.0
51,Mighty Aphrodite,"['miramax films', 'magnolia pictures']",6700000.0
52,Lamerica,,0.0
53,The Big Green,"['walt disney pictures', 'caravan pictures']",0.0
54,Georgia,"['miramax films', 'ciby 2000']",0.0
55,Kids of the Round Table,"['telefilm canada', 'melenny productions']",0.0
56,Home for the Holidays,"['paramount pictures', 'egg pictures', 'polygram filmed entertainment']",17519169.0
