,title,revenue,budget,return,release_year
0,toy story,373554033.0,30000000.0,12.4518011,1995
1,jumanji,262797249.0,65000000.0,4.0430346,1995
2,grumpier old men,0.0,0.0,0.0,1995
3,waiting to exhale,81452156.0,16000000.0,5.09075975,1995
4,father of the bride part ii,76578911.0,0.0,0.0,1995
5,heat,187436818.0,60000000.0,3.123946966666667,1995
6,sabrina,0.0,58000000.0,0.0,1995
7,tom and huck,0.0,0.0,0.0,1995
8,sudden death,64350171.0,35000000.0,1.8385763142857143,1995
9,goldeneye,352194034.0,58000000.0,6.072310931034483,1995
10,the american president,107879496.0,62000000.0,1.739991870967742,1995
11,dracula: dead and loving it,0.0,0.0,0.0,1995
12,balto,11348324.0,0.0,0.0,1995
13,nixon,13681765.0,44000000.0,0.3109492045454545,1995
14,cutthroat island,10017322.0,98000000.0,0.1022175714285714,1995
15,casino,116112375.0,52000000.0,2.2329302884615383,1995
16,sense and sensibility,135000000.0,16500000.0,8.181818181818182,1995
17,four rooms,4300000.0,4000000.0,1.075,1995
18,ace ventura: when nature calls,212385533.0,30000000.0,7.079517766666667,1995
19,money train,35431113.0,60000000.0,0.59051855,1995
20,get shorty,115101622.0,30250000.0,3.805012297520661,1995
21,copycat,0.0,0.0,0.0,1995
22,assassins,30303072.0,50000000.0,0.60606144,1995
23,powder,0.0,0.0,0.0,1995
24,leaving las vegas,49800000.0,3600000.0,13.833333333333334,1995
25,othello,0.0,0.0,0.0,1995
26,now and then,27400000.0,12000000.0,2.283333333333333,1995
27,persuasion,0.0,0.0,0.0,1995
28,the city of lost children,1738611.0,18000000.0,0.0965895,1995
29,shanghai triad,0.0,0.0,0.0,1995
30,dangerous minds,180000000.0,0.0,0.0,1995
31,twelve monkeys,168840000.0,29500000.0,5.7233898305084745,1995
32,wings of courage,0.0,0.0,0.0,1996
33,babe,254134910.0,30000000.0,8.471163666666667,1995
34,carrington,0.0,0.0,0.0,1995
35,dead man walking,39363635.0,11000000.0,3.5785122727272727,1995
36,across the sea of time,0.0,0.0,0.0,1995
37,it takes two,0.0,0.0,0.0,1995
38,clueless,0.0,12000000.0,0.0,1995
39,"cry, the beloved country",676525.0,0.0,0.0,1995
40,richard iii,0.0,0.0,0.0,1995
41,dead presidents,0.0,10000000.0,0.0,1995
42,restoration,0.0,19000000.0,0.0,1995
43,mortal kombat,122195920.0,18000000.0,6.788662222222222,1995
44,to die for,21284514.0,20000000.0,1.0642257,1995
45,how to make an american quilt,23574130.0,10000000.0,2.357413,1995
46,se7en,327311859.0,33000000.0,9.91854118181818,1995
47,pocahontas,346079773.0,55000000.0,6.292359509090909,1995
48,when night is falling,0.0,0.0,0.0,1995
49,the usual suspects,23341568.0,6000000.0,3.890261333333333,1995
50,guardian angel,0.0,0.0,0.0,1994
