belongs_to_collection,title,revenue
toy story collection,Toy Story,373554033.0
grumpy old men collection,Grumpier Old Men,0.0
father of the bride collection,Father of the Bride Part II,76578911.0
james bond collection,GoldenEye,352194034.0
balto collection,Balto,11348324.0
ace ventura collection,Ace Ventura: When Nature Calls,212385533.0
chili palmer collection,Get Shorty,115101622.0
babe collection,Babe,254134910.0
mortal kombat collection,Mortal Kombat,122195920.0
pocahontas collection,Pocahontas,346079773.0
the lawnmower man collection,Lawnmower Man 2: Beyond Cyberspace,2409225.0
friday collection,Friday,28215918.0
from dusk till dawn collection,From Dusk Till Dawn,25836616.0
screamers collection,Screamers,5781885.0
the muppet collection,Muppet Treasure Island,34327391.0
the neverending story collection,The Neverending Story III: Escape from Fantasia,0.0
bad boys collection,Bad Boys,141407024.0
batman collection,Batman Forever,336529144.0
brooklyn cigar store collection,Blue in the Face,1275000.0
casper collection,Casper,287928194.0
mexico trilogy,Desperado,25405445.0
die hard collection,Die Hard: With a Vengeance,366101666.0
teenage apocalypse trilogy,The Doom Generation,0.0
free willy collection,Free Willy 2 - The Adventure Home,0.0
power rangers collection,Mighty Morphin Power Rangers: The Movie,66000000.0
sã­å¥ (kolekce),The Net,110627965.0
the prophecy collection,The Prophecy,16.0
showgirls collection,Showgirls,20350754.0
brooklyn cigar store collection,Smoke,8349430.0
species collection,Species,113374103.0
under siege collection,Under Siege 2: Dark Territory,104324083.0
burnt by the sun trilogy,Burnt by the Sun,2616503.0
before... collection,Before Sunrise,5535405.0
clerks collection,Clerks,3151130.0
dumb and dumber collection,Dumb and Dumber,247275374.0
a goofy movie collection,A Goofy Movie,35348597.0
the vampire chronicles,Interview with the Vampire,223664608.0
star wars collection,Star Wars,775398007.0
nemesis collection,Nemesis 2 - Nebula,0.0
once were warriors collection,Once Were Warriors,2201126.0
poison ivy collection,Poison Ivy II: Lily,0.0
three colors collection,Three Colors: Red,0.0
three colors collection,Three Colors: Blue,0.0
three colors collection,Three Colors: White,0.0
swan princess series,The Swan Princess,9771658.0
the santa clause collection,The Santa Clause,189833357.0
tales from the crypt collection,Tales from the Crypt: Demon Knight,0.0
star trek: the next generation collection,Star Trek: Generations,120000000.0
ace ventura collection,Ace Ventura: Pet Detective,107217396.0
the jack ryan collection,Clear and Present Danger,215887717.0
the crow collection,The Crow,94000000.0
the flintstones (live-action) collection,The Flintstones,341631208.0
the lion king collection,The Lion King,788241776.0
a nightmare on elm street collection,New Nightmare,18090181.0
the mask collection,The Mask,351583407.0
naked gun collection,The Naked Gun 33â…“: The Final Insult,51132598.0
richie rich collection,RiÂ¢hie RiÂ¢h,0.0
speed collection,Speed,350448145.0
timecop collection,Timecop,101646581.0
street fighter,Street Fighter,99423521.0
fear collection,The Fear,0.0
highlander collection,Highlander: The Final Dimension,36800000.0
addams family collection,Addams Family Values,48919043.0
stakeout collection,Another Stakeout,0.0
beverly hills cop collection,Beverly Hills Cop III,119208989.0
city slickers collection,City Slickers II: The Legend of Curly's Gold,0.0
the endless summer collection,The Endless Summer 2,0.0
free willy collection,Free Willy,153698625.0
the fugitive / u.s. marshals collection,The Fugitive,368875760.0
hard target collection,Hard Target,74189677.0
hot shots! collection,Hot Shots! Part Deux,133752825.0
house party collection,House Party 3,0.0
jurassic park collection,Jurassic Park,920100000.0
the karate kid collection,The Next Karate Kid,15826984.0
robocop collection,RoboCop 3,10696210.0
the secret garden collection,The Secret Garden,0.0
the shadow collection,The Shadow,48063435.0
blade runner collection,Blade Runner,33139618.0
the brady bunch collection,The Brady Bunch Movie,0.0
home alone collection,Home Alone,476684675.0
aladdin collection,Aladdin,504050219.0
the terminator collection,Terminator 2: Judgment Day,520000000.0
batman collection,Batman,411348924.0
the hannibal lecter anthology,The Silence of the Lambs,272742922.0
beauty and the beast collection,Beauty and the Beast,377350553.0
candyman collection,Candyman: Farewell to the Flesh,13940383.0
homeward bound collection,Homeward Bound II: Lost in San Francisco,32709423.0
heavy metal collection,Heavy Metal,0.0
hellraiser collection,Hellraiser: Bloodline,16675000.0
all dogs go to heaven collection,All Dogs Go to Heaven 2,8620678.0
mission: impossible collection,Mission: Impossible,457696359.0
dragonheart collection,DragonHeart,115267375.0
bloodsport collection,Bloodsport II,684351.0
the apu collection,Pather Panchali,536364.0
the apu collection,The World of Apu,16000.0
lemmy caution collection,Alphaville,0.0
the substitute collection,The Substitute,0.0
the visitors collection,The Visitors,0.0
ghost in the shell collection,Ghost in the Shell,2287714.0
wallace & gromit collection,A Close Shave,0.0
the arrival collection,The Arrival,14048372.0
"martin scorseseâ€™s world cinema project, vol. 1",Touki Bouki,0.0
trainspotting collection,Trainspotting,16491080.0
independence day collection,Independence Day,816969268.0
the hunchback of notre dame collection,The Hunchback of Notre Dame,100138851.0
the nutty professor collection,The Nutty Professor,128769345.0
the brady bunch collection,A Very Brady Sequel,0.0
the crow collection,The Crow: City of Angels,17917287.0
tales from the crypt collection,Bordello of Blood,5600000.0
escape from ... collection,Escape from L.A.,42277365.0
the godfather collection,The Godfather,245066411.0
police story collection,Police Story 3: Supercop,20483423.0
police story collection,Project S,0.0
the land before time collection,The Land Before Time III: The Time of the Great Giving,0.0
halloween collection,Halloween: The Curse of Michael Myers,15116634.0
the space odyssey series,2001: A Space Odyssey,68700000.0
the thin man collection,The Thin Man,1423000.0
living dead collection,Night of the Living Dead,30000000.0
in the line of duty collection,"Yes, Madam",0.0
the mighty ducks collection,D3: The Mighty Ducks,22955097.0
the apple dumpling gang collection,The Apple Dumpling Gang,0.0
davy crockett collection,"Davy Crockett, King of the Wild Frontier",0.0
witch mountain collection,Escape to Witch Mountain,20000000.0
herbie collection,The Love Bug,0.0
herbie collection,Herbie Rides Again,0.0
parent trap collection,The Parent Trap,0.0
homeward bound collection,Homeward Bound: The Incredible Journey,0.0
the shaggy dog collection,The Shaggy Dog,0.0
cinderella collection,Cinderella,263591415.0
caballeros collection,The Three Caballeros,0.0
the fox and the hound collection,The Fox and the Hound,29800000.0
freeway collection,Freeway,0.0
die hard collection,Die Hard,140767956.0
the lawnmower man collection,The Lawnmower Man,32101000.0
aladdin collection,Aladdin and the King of Thieves,0.0
dirty dancing collection,Dirty Dancing,213954274.0
weekend at bernie's collection,Weekend at Bernie's,30218387.0
basic instinct collection,Basic Instinct,352927224.0
children of the corn collection,Children of the Corn IV: The Gathering,0.0
the pink panther (original) collection,The Return of the Pink Panther,41833347.0
escape from ... collection,Escape from New York,50244700.0
the howling collection,The Howling,17985893.0
the water of the hills collection,Jean de Florette,0.0
the water of the hills collection,Manon of the Spring,0.0
wallace & gromit collection,The Wrong Trousers,0.0
best of the best collection,Best of the Best 3: No Turning Back,0.0
cheech & chong collection,Up in Smoke,41590893.0
star wars collection,The Empire Strikes Back,538400000.0
indiana jones collection,Raiders of the Lost Ark,389925971.0
alien collection,Aliens,183316455.0
the man with no name collection,"The Good, the Bad and the Ugly",6000000.0
star wars collection,Return of the Jedi,572700000.0
alien collection,Alien,104931801.0
evil dead collection,Army of Darkness,0.0
psycho collection,Psycho,32000000.0
the blues brothers collection,The Blues Brothers,115229890.0
the godfather collection,The Godfather: Part II,47542841.0
wallace & gromit collection,A Grand Day Out,0.0
the sting collection,The Sting,159616327.0
the terminator collection,The Terminator,78371200.0
the jake gittes collection,Chinatown,30000000.0
evil dead collection,Evil Dead II,5923044.0
back to the future collection,Back to the Future,381109762.0
highlander collection,Highlander,5900000.0
fantasia collection,Fantasia,83320000.0
qatsi collection,Koyaanisqatsi,1723872.0
indiana jones collection,Indiana Jones and the Last Crusade,474171806.0
alien collection,AlienÂ³,159773545.0
the amityville horror collection,Amityville: It's About Time,0.0
the amityville horror collection,Amityville 3-D,6333135.0
the amityville horror collection,Amityville: Dollhouse,0.0
the amityville horror collection,Amityville: A New Generation,0.0
the amityville horror collection,Amityville II: The Possession,12534817.0
the amityville horror collection,The Amityville Horror,86432000.0
the amityville horror collection,The Amityville Curse,0.0
the blob collection,The Blob,0.0
frankenstein (universal series),Bride of Frankenstein,0.0
candyman collection,Candyman,25792310.0
carrie collection,Carrie,33800000.0
