title,production_companies,revenue
Toy Story,['pixar animation studios'],373554033.0
Jumanji,"['tristar pictures', 'teitler film', 'interscope communications']",262797249.0
Grumpier Old Men,"['warner bros.', 'lancaster gate']",0.0
Waiting to Exhale,['twentieth century fox film corporation'],81452156.0
Father of the Bride Part II,"['sandollar productions', 'touchstone pictures']",76578911.0
Heat,"['regency enterprises', 'forward pass', 'warner bros.']",187436818.0
Sabrina,"['paramount pictures', 'scott rudin productions', 'mirage enterprises', 'sandollar productions', 'constellation entertainment', 'worldwide', 'mont blanc entertainment gmbh']",0.0
Tom and Huck,['walt disney pictures'],0.0
Sudden Death,"['universal pictures', 'imperial entertainment', 'signature entertainment']",64350171.0
GoldenEye,"['united artists', 'eon productions']",352194034.0
The American President,"['columbia pictures', 'castle rock entertainment']",107879496.0
Dracula: Dead and Loving It,"['columbia pictures', 'castle rock entertainment', 'enigma pictures']",0.0
Balto,"['universal pictures', 'amblin entertainment', 'amblimation']",11348324.0
Nixon,"['hollywood pictures', 'cinergi pictures entertainment']",13681765.0
Cutthroat Island,"['le studio canal+', 'laurence mark productions', 'metro-goldwyn-mayer (mgm)', 'carolco pictures']",10017322.0
Casino,"['universal pictures', 'lã©gende entreprises', 'syalis da', 'de fina-cappa']",116112375.0
Sense and Sensibility,"['columbia pictures corporation', 'mirage enterprises']",135000000.0
Four Rooms,"['miramax films', 'a band apart']",4300000.0
Ace Ventura: When Nature Calls,"['o entertainment', 'warner bros.', 'morgan creek productions']",212385533.0
Money Train,['columbia pictures'],35431113.0
Get Shorty,"['jersey films', 'metro-goldwyn-mayer (mgm)']",115101622.0
Copycat,"['regency enterprises', 'new regency pictures']",0.0
Assassins,"['silver pictures', 'canal+', 'warner bros.', 'dino de laurentiis company', 'donner/shuler-donner productions', 'evansgideon/lazar']",30303072.0
Powder,"['caravan pictures', 'hollywood pictures']",0.0
Leaving Las Vegas,"['united artists', 'intial productions']",49800000.0
Othello,"['columbia pictures', 'castle rock entertainment']",0.0
Now and Then,['new line cinema'],27400000.0
Persuasion,['bbc films'],0.0
The City of Lost Children,"['procirep', 'constellation productions', 'france 3 cinã©ma', 'claudie ossard productions', 'eurimages', 'media programme of the european union', 'cofimage 5', 'televisiã³n espaã±ola (tve)', 'tele mã¼nchen fernseh produktionsgesellschaft (tmg)', ""club d'investissement mã©dia"", 'canal+ espaã±a', 'elã\xadas querejeta producciones cinematogrã¡ficas s.l.', 'centre national de la cinã©matographie (cnc)', 'victoires productions', 'constellation', 'lumiã¨re pictures', 'canal+', 'studio image', 'cofimage 4', 'ossane', 'phoenix images']",1738611.0
Shanghai Triad,"['ministã¨re des affaires ã‰trangã¨res', 'alpha films', 'la sept cinã©ma']",0.0
Dangerous Minds,"['hollywood pictures', 'via rosa productions', 'don simpson/jerry bruckheimer films']",180000000.0
Twelve Monkeys,"['universal pictures', 'atlas entertainment', 'classico']",168840000.0
Wings of Courage,['iwerks entertainment'],0.0
Babe,"['universal pictures', 'kennedy miller productions']",254134910.0
Carrington,"['studiocanal', 'cinã©a', 'euston films', 'freeway films', 'european co-production fund', 'polygram filmed entertainment', 'orsans productions']",0.0
Dead Man Walking,"['havoc', 'polygram filmed entertainment', 'working title films']",39363635.0
Across the Sea of Time,['sony new technologies'],0.0
It Takes Two,"['dualstar productions', 'warner bros.', 'rysher entertainment', 'orr & cruickshank']",0.0
Clueless,['paramount pictures'],0.0
"Cry, the Beloved Country","['miramax', 'distant horizon', 'alpine pty limited']",676525.0
Richard III,"['british screen', 'mayfair entertainment international']",0.0
Dead Presidents,"['caravan pictures', 'underworld entertainment', 'hollywood pictures']",0.0
Restoration,['miramax films'],0.0
Mortal Kombat,"['new line cinema', 'threshold entertainment']",122195920.0
To Die For,"['the rank organisation', 'columbia pictures corporation']",21284514.0
How To Make An American Quilt,"['universal pictures', 'amblin entertainment']",23574130.0
Se7en,"['new line cinema', 'juno pix', 'cecchi gori pictures']",327311859.0
Pocahontas,"['walt disney pictures', 'walt disney feature animation']",346079773.0
When Night Is Falling,['alliance communications corporation'],0.0
The Usual Suspects,"['blue parrot productions', 'bad hat harry productions']",23341568.0
Guardian Angel,,0.0
Mighty Aphrodite,"['miramax films', 'magnolia pictures']",6700000.0
Lamerica,,0.0
The Big Green,"['walt disney pictures', 'caravan pictures']",0.0
Georgia,"['miramax films', 'ciby 2000']",0.0
Kids of the Round Table,"['telefilm canada', 'melenny productions']",0.0
Home for the Holidays,"['paramount pictures', 'egg pictures', 'polygram filmed entertainment']",17519169.0
The Postman,,0.0
The Confessional,,0.0
The Indian in the Cupboard,"['paramount pictures', 'columbia pictures corporation', 'the kennedy/marshall company']",0.0
Eye for an Eye,['paramount pictures'],0.0
Mr. Holland's Opus,"['hollywood pictures', 'the charlie mopic company', 'polygram filmed entertainment', 'interscope communications']",106269971.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['miramax films', 'island pictures', 'ivory way productions']",0.0
Two If by Sea,"['warner bros.', 'morgan creek productions']",0.0
Bio-Dome,"['metro-goldwyn-mayer (mgm)', 'motion picture corporation of america (mpca)', '3 arts entertainment', 'weasel productions']",0.0
Lawnmower Man 2: Beyond Cyberspace,['new line cinema'],2409225.0
Two Bits,['miramax films'],0.0
French Twist,"['renn productions', 'les films flam', 'tf1 films production', 'canal+']",0.0
Friday,['new line cinema'],28215918.0
From Dusk Till Dawn,"['a band apart', 'dimension films', 'los hooligans productions', 'miramax']",25836616.0
Fair Game,"['silver pictures', 'warner bros.']",11534477.0
Kicking and Screaming,"['castleberg productions', 'sandollar productions']",718490.0
Les Miserables,"['les films 13', 'canal+', 'tf1']",0.0
Bed of Roses,"['new line cinema', 'juno pix']",19030691.0
Big Bully,"['warner bros.', 'morgan creek productions']",2042530.0
Screamers,"['the movie network (tmn)', 'allegro films', 'fuji eight company ltd.', 'fries film group', 'super ecran', 'triumph films']",5781885.0
Nico Icon,"['zweites deutsches fernsehen (zdf)', 'ciak filmproduktion', 'bluehorse films']",0.0
The Crossing Guard,['miramax films'],0.0
The Juror,['columbia pictures corporation'],0.0
The White Balloon,"['i.r.i.b. channel 2', 'ferdos films']",0.0
Things to Do in Denver When You're Dead,['miramax films'],529766.0
Antonia's Line,"['bergen film', 'bard entertainments', 'nps televisie']",0.0
Once Upon a Time... When We Were Colored,"['bet pictures', 'united image entertainme']",0.0
Last Summer in the Hamptons,,0.0
Angels and Insects,"['playhouse international pictures', 'the samuel goldwyn company']",0.0
White Squall,"['hollywood pictures', 'largo entertainment', 'scott free productions']",10300000.0
Dunston Checks In,"['twentieth century fox film corporation', 'joe wizan/todd black']",0.0
Black Sheep,['paramount pictures'],32.0
Nick of Time,['paramount pictures'],8175346.0
The Journey of August King,"['miramax films', 'addis wechsler pictures']",0.0
Mary Reilly,"['tristar pictures', 'nfh productions']",12379402.0
Vampire in Brooklyn,['paramount pictures'],19800000.0
Beautiful Girls,"['miramax films', 'woods entertainment']",0.0
Broken Arrow,"['twentieth century fox film corporation', 'wcg entertainment productions', 'mark gordon productions']",150270147.0
A Midwinter's Tale,"['castle rock entertainment', 'midwinter films']",0.0
La Haine,"['egg pictures', 'polygram filmed entertainment', 'canal+', 'les productions lazennec', 'la sept cinã©ma', 'kasso inc. productions', 'studio image', 'cofinergie 6']",0.0
Shopping,['channel four films'],0.0
Heidi Fleiss: Hollywood Madam,"['british broadcasting corporation (bbc)', 'westdeutscher rundfunk (wdr)', 'canadian broadcasting corporation (cbc)', 'cinemax reel life', 'inpictures', 'lafayette films']",0.0
City Hall,"['columbia pictures', 'castle rock entertainment']",0.0
Bottle Rocket,"['gracie films', 'columbia pictures corporation']",560069.0
Mr. Wrong,['touchstone pictures'],0.0
Unforgettable,"['metro-goldwyn-mayer (mgm)', 'dino de laurentiis company', 'spelling films']",0.0
Happy Gilmore,"['universal pictures', 'brillstein-grey entertainment', 'robert simonds productions']",41205099.0
The Bridges of Madison County,"['amblin entertainment', 'malpaso productions', 'warner bros.']",182016617.0
Nobody Loves Me,,0.0
Muppet Treasure Island,"['walt disney pictures', 'jim henson productions', 'jim henson company, the']",34327391.0
Catwalk,,0.0
Headless Body in Topless Bar,,0.0
Braveheart,"['icon entertainment international', 'the ladd company', 'b.h. finance c.v.']",210000000.0
Taxi Driver,"['columbia pictures corporation', 'italo/judeo productions', 'bill/phillips']",28262574.0
Rumble in the Bronx,"['new line cinema', 'golden harvest company']",32392047.0
Before and After,"['caravan pictures', 'hollywood pictures']",0.0
Margaret's Museum,"['tã©lã©film canada', 'skyline films', 'malofilm', 'sociã©tã© de dã©veloppement des entreprises culturelles (sodec)', 'british screen productions', 'national film board of canada (nfb)', 'imx communications', 'glace bay pictures', 'cinã© tã©lã© action', 'nova scotia film development corporation', 'ranfilm']",0.0
Happiness Is in the Field,"['france 2 cinã©ma', 'france 3 cinã©ma', 'studiocanal', 'les productions du champ poirier', 'tã©lã©ma productions']",0.0
Anne Frank Remembered,,1.0
The Young Poisoner's Handbook,['bavaria film and television fund'],0.0
If Lucy Fell,"['tristar pictures', 'motion picture corporation of america (mpca)']",0.0
Steal Big Steal Little,['savoy pictures'],6278139.0
Race the Sun,['tristar pictures'],0.0
The Boys of St. Vincent,,0.0
Boomerang,['paramount pictures'],70100000.0
Chungking Express,"['jet tone production', 'the criterion collection']",0.0
The Star Maker,['cecchi gori group tiger cinematografica'],0.0
Flirting with Disaster,['miramax films'],14702438.0
The Neverending Story III: Escape from Fantasia,"['studio babelsberg', 'dieter geissler filmproduktion', 'cinevox filmproduktion gmbh', 'warner bros.', 'miramax']",0.0
The Silences of the Palace,"['canal horizons', 'mat films', 'cinã©tã©lã©films']",0.0
Jupiter's Wife,,0.0
Pie in the Sky,,0.0
Angela,,0.0
Frankie Starlight,"['fine line features', 'channel four films', 'bã³rd scannã¡n na hã‰ireann', 'canal+']",0.0
Jade,['paramount pictures'],9851610.0
Nueba Yol,"['cigua films', ""d'pelicula""]",0.0
Sonic Outlaws,,0.0
Down Periscope,['twentieth century fox film corporation'],0.0
From the Journals of Jean Seberg,['couch potatoe productions'],0.0
Man of the Year,,209935.0
The Neon Bible,"['channel four films', 'academy', 'mayfair films', 'iberoamerica films']",0.0
Target,,0.0
Up Close & Personal,"['cinergi pictures entertainment', 'touchstone pictures']",0.0
The Birdcage,['united artists'],185260553.0
Virgin Mary,,0.0
The Brothers McMullen,['fox searchlight pictures'],0.0
Bad Boys,"['columbia pictures', 'don simpson/jerry bruckheimer films']",141407024.0
The Amazing Panda Adventure,['warner bros.'],0.0
The Basketball Diaries,"['new line cinema', 'island pictures']",0.0
An Awfully Big Adventure,"['fine line features', 'bbc', 'british screen productions', 'portman productions']",851545.0
Amateur,"['channel four films', 'zenith entertainment', 'american playhouse', 'union gã©nã©rale cinã©matographique (ugc)', 'la sept cinã©ma', 'true fiction pictures']",0.0
Apollo 13,"['imagine entertainment', 'universal pictures']",355237933.0
Rob Roy,"['united artists', 'talisman productions']",31596911.0
The Addiction,"['october films', 'guild', 'fastnet films']",0.0
Batman Forever,"['warner bros.', 'polygram filmed entertainment']",336529144.0
Belle de Jour,"['paris films productions', 'five films', 'robert et raymond hakim']",0.0
Beyond Rangoon,"['columbia pictures', 'castle rock entertainment']",0.0
Blue in the Face,"['miramax films', 'interal']",1275000.0
Canadian Bacon,['polygram filmed entertainment'],178104.0
Casper,"['universal pictures', 'amblin entertainment', 'the harvey entertainment company']",287928194.0
Clockers,"['universal pictures', '40 acres & a mule filmworks']",13071518.0
Congo,"['paramount pictures', 'kennedy/marshall company, the']",152022101.0
Crimson Tide,"['hollywood pictures', 'don simpson/jerry bruckheimer films']",157387195.0
Crumb,['superior pictures'],3174695.0
Desperado,"['columbia pictures', 'los hooligans productions']",25405445.0
Devil in a Blue Dress,"['tristar pictures', 'mundy lane entertainment']",16140822.0
Die Hard: With a Vengeance,"['twentieth century fox film corporation', 'cinergi pictures entertainment']",366101666.0
The Doom Generation,"['why not productions', 'desperate pictures', 'blurco', 'the teen angst movie company']",0.0
Feast of July,"['touchstone pictures', 'merchant ivory productions']",0.0
First Knight,"['columbia pictures corporation', 'first knight productions']",127600435.0
Free Willy 2 - The Adventure Home,"['regency enterprises', 'alcor films', 'canal+', 'donner/shuler-donner productions', 'warner bros.']",0.0
Hackers,"['united artists', 'suftley']",7563728.0
Jeffrey,"['the booking office', ""workin' man films""]",0.0
Johnny Mnemonic,"['tristar pictures', 'alliance communications corporation']",19075720.0
Judge Dredd,"['hollywood pictures', 'cinergi pictures entertainment']",113493481.0
Jury Duty,['tristar pictures'],17014653.0
Kids,['miramax films'],7412216.0
Living in Oblivion,"['jdi productions', 'lemon sky productions']",1148752.0
Lord of Illusions,"['united artists', 'seraphim films']",0.0
Love & Human Remains,"['the ontario film development corporation', 'first choice films', 'atlantis films', 'telefilm canada', 'max films productions', 'super ã‰cran', 'sociã©tã© gã©nã©rale des industries culturelles du quã©bec (sogic)']",0.0
Mad Love,['touchstone pictures'],15453274.0
Mallrats,"['universal pictures', 'gramercy pictures', 'alphaville films', 'view askew productions']",2122561.0
Mighty Morphin Power Rangers: The Movie,"['twentieth century fox film corporation', 'saban entertainment', 'toei company']",66000000.0
Moonlight and Valentino,"['polygram filmed entertainment', 'working title films']",0.0
Mute Witness,"['comet film produktion gmbh', 'avrora media', 'cobblestone pictures']",1.0
Nadja,['kino link company'],0.0
The Net,['columbia pictures'],110627965.0
