title,revenue,budget,return,release_year
toy story,373554033.0,30000000.0,12.4518011,1995
jumanji,262797249.0,65000000.0,4.0430346,1995
grumpier old men,0.0,0.0,0.0,1995
waiting to exhale,81452156.0,16000000.0,5.09075975,1995
father of the bride part ii,76578911.0,0.0,0.0,1995
heat,187436818.0,60000000.0,3.123946966666667,1995
sabrina,0.0,58000000.0,0.0,1995
tom and huck,0.0,0.0,0.0,1995
sudden death,64350171.0,35000000.0,1.8385763142857143,1995
goldeneye,352194034.0,58000000.0,6.072310931034483,1995
the american president,107879496.0,62000000.0,1.739991870967742,1995
dracula: dead and loving it,0.0,0.0,0.0,1995
balto,11348324.0,0.0,0.0,1995
nixon,13681765.0,44000000.0,0.3109492045454545,1995
cutthroat island,10017322.0,98000000.0,0.1022175714285714,1995
casino,116112375.0,52000000.0,2.2329302884615383,1995
sense and sensibility,135000000.0,16500000.0,8.181818181818182,1995
four rooms,4300000.0,4000000.0,1.075,1995
ace ventura: when nature calls,212385533.0,30000000.0,7.079517766666667,1995
money train,35431113.0,60000000.0,0.59051855,1995
get shorty,115101622.0,30250000.0,3.805012297520661,1995
copycat,0.0,0.0,0.0,1995
assassins,30303072.0,50000000.0,0.60606144,1995
powder,0.0,0.0,0.0,1995
leaving las vegas,49800000.0,3600000.0,13.833333333333334,1995
othello,0.0,0.0,0.0,1995
now and then,27400000.0,12000000.0,2.283333333333333,1995
persuasion,0.0,0.0,0.0,1995
the city of lost children,1738611.0,18000000.0,0.0965895,1995
shanghai triad,0.0,0.0,0.0,1995
dangerous minds,180000000.0,0.0,0.0,1995
twelve monkeys,168840000.0,29500000.0,5.7233898305084745,1995
wings of courage,0.0,0.0,0.0,1996
babe,254134910.0,30000000.0,8.471163666666667,1995
carrington,0.0,0.0,0.0,1995
dead man walking,39363635.0,11000000.0,3.5785122727272727,1995
across the sea of time,0.0,0.0,0.0,1995
it takes two,0.0,0.0,0.0,1995
clueless,0.0,12000000.0,0.0,1995
"cry, the beloved country",676525.0,0.0,0.0,1995
richard iii,0.0,0.0,0.0,1995
dead presidents,0.0,10000000.0,0.0,1995
restoration,0.0,19000000.0,0.0,1995
mortal kombat,122195920.0,18000000.0,6.788662222222222,1995
to die for,21284514.0,20000000.0,1.0642257,1995
how to make an american quilt,23574130.0,10000000.0,2.357413,1995
se7en,327311859.0,33000000.0,9.91854118181818,1995
pocahontas,346079773.0,55000000.0,6.292359509090909,1995
when night is falling,0.0,0.0,0.0,1995
the usual suspects,23341568.0,6000000.0,3.890261333333333,1995
guardian angel,0.0,0.0,0.0,1994
mighty aphrodite,6700000.0,15000000.0,0.4466666666666666,1995
lamerica,0.0,0.0,0.0,1994
the big green,0.0,0.0,0.0,1995
georgia,0.0,0.0,0.0,1995
kids of the round table,0.0,0.0,0.0,1997
home for the holidays,17519169.0,0.0,0.0,1995
the postman,0.0,0.0,0.0,1994
the confessional,0.0,0.0,0.0,1995
the indian in the cupboard,0.0,45000000.0,0.0,1995
eye for an eye,0.0,20000000.0,0.0,1996
mr. holland's opus,106269971.0,0.0,0.0,1995
don't be a menace to south central while drinking your juice in the hood,0.0,0.0,0.0,1996
two if by sea,0.0,0.0,0.0,1996
bio-dome,0.0,15000000.0,0.0,1996
lawnmower man 2: beyond cyberspace,2409225.0,0.0,0.0,1996
two bits,0.0,0.0,0.0,1995
french twist,0.0,0.0,0.0,1995
friday,28215918.0,3500000.0,8.061690857142857,1995
from dusk till dawn,25836616.0,19000000.0,1.359821894736842,1996
fair game,11534477.0,50000000.0,0.23068954,1995
kicking and screaming,718490.0,0.0,0.0,1995
les miserables,0.0,0.0,0.0,1995
bed of roses,19030691.0,0.0,0.0,1996
big bully,2042530.0,15000000.0,0.1361686666666666,1996
